client,cmt,level,like,nn,prov,reply,score,time
0,京东发货和送货速度超快，傍晚下单，第二天中午前就到。暖风机制热快，轻便小巧操作简单，试用了半小时外表只微微发热。,62,0,帘***风,广东,1,5,2016-11-23 17:35:11
4,不错，放在浴室里用的，原来的浴霸坏了，想了想还不如买个这种取暖器好用，起码不用再为安装发愁了。但是我买的这件商品有一个脚上有裂纹，有点瑕疵，但不影响使用，希望京东加强质量管理，虽然不影响使用，但谁又想用个残次品呢？,62,0,j***b,山东,8,5,2016-10-22 22:47:18
0,东西不错，使用方便，可以买,105,0,jd138670kzl,浙江,1,5,2016-10-11 01:56:22
4,宝贝已收到了，特神速感谢京东快递，昨天下午下的单今天上午就收到了，加热比较快，挺方便的可以到处移动，非常满意！,61,0,c***o,山西,0,5,2016-11-26 09:11:17
4,家里有一个暖风机还是nova的，可惜不能在浴室长久的用，现在都快用坏了。所以想买个能在浴室妥妥用的产品。\n比来比去还是买美的的小家电放心，靠谱写。\n价格不贵，百来块钱，用着正合适!\n风量小，温度可以的，我家卫生间较大，也能快速暖后起来。\n反正吧，现在看起来是真心不错，很符合我的要求!,62,1,a***n,上海,9,5,2016-11-11 01:03:18
4,电话不通知，快递也不送，热风机很好，装在卫生间热的很快，洗澡不冷。,62,0,清***0,河南,1,5,2017-01-11 23:11:12
4,美的暖风机不错，放在浴室一会儿功夫就热了，只是2000w耗电快啊！缺点就是1.&ldquo;高 低&rdquo;档位调节没反应，调去调来一个样。2.&ldquo;高温 低温&rdquo;调节温控开关再热也不跳，一直吹。感觉这两个开关就是装饰品。,62,0,p***4,江苏,2,5,2016-12-12 19:10:01
4,东西很棒，物流也不错，说是什么时候到就什么时候到，很准时，京东值得信赖，美的值得拥有,62,0,j***t,,1,5,2016-10-08 17:42:49
0,外观漂亮，味道不算大，但是开机时不管调高档还是中档声音都有点大。,62,0,h***u,湖北,0,5,2016-11-27 21:41:13
2,包装完好，配送快，制热效果非常棒，安装方便,61,0,l***2,,0,5,2017-01-13 19:01:08
2,快递很快，个子小，很精致，刚回来不知道怎么样，没有看到说明书，有点奇怪,62,0,吃***物,,1,5,2016-11-25 15:24:30
4,不错，做工不错，功率2000瓦，热风来得很快，洗澡有它的确管用,105,1,家***湾,江苏,1,5,2016-12-03 21:20:06
4,收到后赶紧试用，还不错，很喜欢，送货速度超级快，朋友都想要买,61,0,j***p,山东,1,5,2016-12-15 16:39:44
2,产品不错，热的快，帮同事买的，很喜欢。,56,0,j***n,,0,5,2016-12-28 13:12:52
4,真心觉得不错！暖和是基本的，关键加热后没有塑料味！,105,0,京***y,四川,0,5,2016-11-23 14:28:17
2,买了两个了，一个是去年买的，出热风很快，很耐用，就是有点味道，,105,0,哈***宝,,0,5,2016-11-24 14:49:34
0,东西小巧，使用轻便，热的快，双十一活动还有反E卡，价格实惠。为能及时晒单，特地到京东发火点自取的。满意。,62,1,l***1,上海,1,5,2016-11-11 17:33:14
4,这个外形很漂亮，是美的的风格，小巧便携，使用很方便，房间2个小时左右就暖和起来了，声音没有电油丁小，毕竟风是要吹出来，功率还没有实测有多大，但是根据电线的发热程度看应该不小，还有就是一定要加湿器配合使用，否则就太干燥。价格实惠，京东的速度确实很好。,105,0,天***1,,0,5,2016-11-25 11:09:03
0,使用方便，效果很快，外观又好看哈，赞一个,62,0,j***爱,,0,5,2016-10-30 11:37:06
4,京东就是速度，快递员超好，对小孩又好。热得很快，就是调高低温度那个低温调得不是很低，扭到超过显示低温那两个字的一半了才能启动，看图那里有扭到一半还没亮，其它的都很&quot;OK&quot;,61,0,z***头,,3,5,2016-10-30 23:20:46
2,感觉不错，冬天对小孩冲凉不会太冷,62,0,y***6,广东,0,5,2016-11-23 19:59:23
0,东西收到了，物流很快，试了下，制热效果不错，使用方便,61,0,j***h,,0,5,2016-11-12 22:39:50
0,使用简便，制热效果快，外观简洁单方，喜欢!,61,0,j***5,四川,0,5,2016-12-02 12:02:39
0,【前1000名晒单到手仅159！返20元E卡！】我耐不住廣東的濕冷，所以房間都買了很貴的有制熱的三菱空調，但是客廳沒有買制暖的。畢竟有制暖和沒制暖的空調價格相差了差不多1錢多，現在買了這種暖風機，十幾平方的客廳都暖烘烘的！而且完全沒有電熱絲的焦味，我特討厭焦味的暖氣了！所以這個產品真實太棒了！感覺俾空調的制暖還好，因為空調的制暖需要大風力才能把熱氣吹下來，同時會感覺到涼風，這個產品就只能能地面吹出暖氣，然後暖氣自然上升，很舒服！！,61,0,C***炎,广东,3,5,2016-11-23 14:48:17
0,【前1000名晒单到手仅159！返20元E卡！】我耐不住廣東的濕冷，所以房間都買了很貴的有制熱的三菱空調，但是客廳沒有買制暖的。畢竟有制暖和沒制暖的空調價格相差了差不多1錢多，現在買了這種暖風機，十幾平方的客廳都暖烘烘的！而且完全沒有電熱絲的焦味，我特討厭焦味的暖氣了！所以這個產品真實太棒了！感覺俾空調的制暖還好，因為空調的制暖需要大風力才能把熱氣吹下來，同時會感覺到涼風，這個產品就只能能地面吹出暖氣，然後暖氣自然上升，很舒服！！！！！,56,0,q***s,,0,4,2016-11-25 16:12:16
2,不错，很暖和，即开即热。用表测了下，低档功率1800瓦，出风口温度98度，高档功率2400瓦，出风口温度130度。当暖气也不错，噪声不是很大，但是睡觉时不能开，比空调要吵。送货晚到了一天。,105,0,r***d,北京,0,5,2017-01-30 01:32:24
2,挺好，非常满意,56,0,a***6,,0,5,2017-02-07 11:44:23
2,制热快，大小合适。东北冬天暖气不好的小区备一个挺好！送货速度快！头一天下单，第二天降了二十，用保价返给我了！不错！,105,0,孙***S,辽宁,3,5,2016-10-31 21:34:38
0,美的浴室暖风机非常棒，制热效果快，使用方便,61,1,盘古大帝,湖南,1,5,2016-11-23 10:32:21
2,非常不错的一款吹风机，外观漂亮，价格适中，效果也很好，放在8平方左右的卫生间，10分钟就热了，最主要还能防水，以后全家冬天洗澡就舒服了，洗完澡穿衣服也不用畏手畏脚了，哈哈总之美的产品，值得拥有，想买的朋友们赶紧入手，等过段时间天气冷了这类产品肯定涨价！,62,1,j***n,,0,5,2016-11-01 10:55:39
4,好好好好好好好好好好好好好好好好好,105,0,j***z,,0,5,2016-11-23 23:55:38
2,发货速度快，送货小哥态度好，加热速度快，挺不错的，就是在底部有处划痕，但是不影响使用,62,0,伤***鞋,天津,0,5,2017-01-19 15:23:06
4,很好，没有挑剔的。之前看评价把我吓死了，说各种问题都有，胆战心惊下单后，第二天上午就到货了，简直太赞了。,56,1,j***a,,1,5,2016-10-23 20:23:42
4,暖风很适合在北方使用，气温差不大的情况下效果比较明显，声音也不大,61,0,t***2,,0,5,2016-12-28 19:49:39
4,东西设计很漂亮，防水性不错，浴室加热非常快而且实用。希望质量能经得起长久的检验。,62,0,B***g,江苏,0,5,2016-12-02 08:12:03
0,配送很快，东西不错，很满意的一次网购,61,0,134*****881,广东,0,5,2016-11-25 17:09:37
4,上面的旋钮是调节室温的，下面的旋钮是换挡的，室温达到了后会自动停机，要调节下面档次的旋钮才能调风的温度，所以用的时候上下两个旋钮都要打开才能工作，即使是低档吹出来的风很烫，最好别直接对着脚。美的大牌信得过，功能完好，很赞！,61,0,W***n,广东,0,5,2016-12-29 03:04:38
2,挺好用的，这两天天气冷，正好用得上，好评，快递小哥很给力,56,0,j***c,,0,5,2016-11-26 21:59:02
0,外观很好看、很小巧、使用方便、功率可以1200W和2000W之间转换、质量很好、非常喜欢,62,0,l***9,,0,5,2016-10-30 14:49:11
2,东西很棒 就是在温度档调为低的时候 机器不会运作 调高后就正常了  机器运转声音不大 温度来的很快,62,0,j***杜,,0,5,2016-11-11 15:34:12
2,东西还不错，制热速度挺快的，放房间里用，冬天用电脑就不会冻得手脚僵硬了，再也不怕打dota坑队友了。缺点是风扇的声音比较大。还有二手dong又卖二手货给我???,62,0,jd_60bf3947b7ca1,广东,0,4,2016-11-26 17:42:09
0,用起来有一种地暖享受，关键是一点噪音感觉不到。,61,0,离***2,,0,5,2017-01-05 14:57:29
2,美的，我喜爱的品牌。包装完整，送货及时，外观漂亮，操作方便，给一个冬天暖暖的感觉，就是他了！,105,0,l***l,新疆,1,5,2016-10-20 00:54:22
2,用了之后才来评价。小一点的卫生间升温很快，照着人吹，洗澡的时候很给力，不过用最高温的话我家跳闸，换成中间偏上的温度就不会跳闸了，洗澡再也不冷了。放在架子上正正好。我家卫生间就一米多点宽，升温很快。好东西！配送员师傅很敬业，京东就是好。我已经离不开京东了~,105,1,爱***妞,北京,1,5,2016-11-22 18:07:35
4,昨晚下单，今天一早就到了，看了下还不错哦，没有异味，拎着也挺有份量的，相信美的质量，期待好用，晚上试试,105,0,j***r,,0,5,2016-11-24 22:44:11
4,用了两天才来评价的，这款暖风机很实用，热得快，无异味，大品牌，性价比高，值得购买。,61,0,j***e,广东,0,5,2016-12-04 00:00:47
4,非常好，打开包装简直用惊喜来形容，风很暖，打开就热了。。。,61,0,1***1,吉林,0,5,2016-11-24 12:40:11
4,妈妈说挺好的，暖得比较快，挺小巧的，最重要宝宝洗澡不冷了,61,0,老***肠,广东,0,5,2016-11-23 21:26:24
4,制热非常快，外观小巧，非常喜欢,56,0,j***i,江西,0,5,2017-01-15 11:53:26
0,美的，我喜爱的品牌。包装完整，送货及时，外观漂亮，操作方便制热效果不错使用方便,61,0,资***z,湖南,0,5,2016-11-01 12:12:54
2,盖子有点开了，表面花了很多，无所谓，好用可以了，可以,56,0,j***p,,0,5,2016-11-26 15:42:49
2,发货很快，开机试用，很快就有热风出来。。,105,0,j***5,湖北,0,5,2016-11-23 10:35:51
0,1.外观漂亮，使用方便\n2.制热效果好,62,0,p***0,,1,5,2016-10-30 08:46:17
4,早上下单下午就到速度给力，满意,62,0,风***痕,,0,5,2016-12-07 10:46:06
4,快递速度没话说，第二天早上就到了，暖风机是流线型的，圆润好看，质感不错，插头是两项的，白色的很有科技感，旋钮也很有手感，总体质量让人放心，这个暖风机吹干袜子是非常不错的，赞！,56,0,j***r,,1,5,2016-11-24 15:59:30
4,不错，暖风很快。快递也很给力,62,0,j***9,广东,1,5,2016-11-23 08:16:47
2,京东一如既往，不错，快快。,105,0,小***L,重庆,0,5,2016-11-24 18:05:21
0,东西不错，制热效果不错，外观挺好。,61,0,p***a,,1,5,2016-09-18 16:01:59
2,非常好，太喜欢了，值得信赖,56,0,j***c,,2,5,2016-10-15 10:24:10
4,机子小巧，比较精致。开机试了，出风量不小，低档就挺暖和了，声音不大。只是开机后有一股塑料味？！累似烘手机？建议加热后，停在出风档一两分钟，对机器有好处。也是这么设计的,105,1,j***1,北京,1,5,2016-11-11 18:09:20
4,物流很快，包装很好，没有受损。暖风效果也挺快，十几分钟房间就暖起来了。洗澡的时侯用更方便，还防水。最重要自营售后服务放心。,62,0,展***2,广东,0,5,2017-01-26 23:49:44
0,不错，热风很快，小巧方便，只是不知道防水效果怎么样。,105,0,3***亮,,0,5,2016-11-26 10:01:44
0,看着挺好的，挺不错的,62,0,jd_zx3372,陕西,1,5,2016-11-11 10:11:49
0,很不错的东西，制热很好用。比浴霸好用。,61,0,j***3,山东,0,5,2016-11-26 17:14:31
4,美的的暖风机小巧轻便，适合浴室洗澡用。试用了一下，升温很快，面积大点的客厅也可以用，会慢些，这个应该也很费电吧，2000w的。京东快递怎么是中通给送的？,62,0,gift礼物,陕西,0,5,2016-11-03 14:42:37
2,这东西还不错  挺好用的  就是比较费电  各档位功率我已经拍了照片了  还有就是那个调温的旋钮是假的  就是个开关而已  没有实际的调温作用,105,2,宝***梦,江苏,8,5,2016-11-02 19:23:41
4,晚上十点多买的，第二天就到了，速度超快。宝贝也挺不错的，很精致，拿在手上也很有分量。京东品质，值得信赖。,62,0,j***5,,0,5,2017-01-11 22:29:41
2,前1000名晒单返20E，东西昨天下午买的，京东物流第二天上午就送到了，真的很快，拆箱看了，还没使用。晚上给宝宝洗澡用,62,2,s***j,上海,0,5,2016-11-23 19:04:56
2,速度快，第二天也就是昨天就收到货了，昨天停电了没法试用，所以今天就试了一下挺好用的，小巧实惠，要打孔才能挂，没有工具只好先放着买好工具挂好了再来晒图，反正我很喜欢，值得购买哈！,61,0,c***4,,0,5,2016-11-23 10:04:49
0,制热效果快，外观美观，使用方便，非常暖和，不错，美的的东西越来越好了，希望美的越做越好。,105,0,小***机,,2,5,2016-11-01 13:10:27
0,东西不错，刚回来试了下，吹出的温度还可以，挺热的，浴室加热还没试，先好评。,61,0,i***g,,1,5,2016-11-11 01:26:45
4,东西很精美实用，发热很快，风量太小还只能朝正面吹，要是风向能自动左右摇摆就好了！,62,0,5***6,上海,1,5,2017-01-11 13:13:43
2,早上拍，下午就拿到了，此刻正在用着，很好用！被它q到，对于一个电器类小白的人来说，简直不要操作太简单有木有！！,62,0,j***0,江西,0,5,2016-11-27 06:57:59
4,感觉很实用，暖卫生间只需要几分钟而已，还可以烘衣服，烘毛巾，外观做工都很好，送货哥也很给力。32个赞！！！,105,0,西***4,北京,1,5,2016-11-23 11:54:42
4,还不错呀，温度和风速都可以调，出风量也挺大，放卫生间5分钟就很暖和了，主要给宝宝洗澡换尿不湿用，很方便,61,2,朱***陆,江苏,0,5,2016-11-11 18:46:42
4,对京东快递简直没有什么说的了~非常便捷！就是快！东西也非常的好！小东西发热很快~开一会马上就热了！很不错！,62,0,f***2,,1,5,2016-11-20 15:16:46
0,东西不错，相信美的的品牌，很适合卫生间使用。,105,0,j***c,北京,1,5,2016-09-30 11:07:38
4,东西很好用，热风很快。以后儿子洗澡不怕冷了。京东自营，上午拍的，下午就送到家了，真给力！,62,0,j***4,,0,5,2016-11-24 09:05:46
4,冬季必备，之前的暖风机在这个冻死人的季节坏掉了，这可怎么洗刷刷啊，还好京东送货及时，棒棒哒,61,0,3***m,,0,5,2016-10-30 10:25:30
4,快递相当给力，东西外观小巧精致，放浴室制热速度很快，噪音小，虽说防水，还是不太放心，冬天洗澡再不怕冷了,62,0,风***3,河南,0,5,2016-11-27 07:29:26
4,首先快递很快，暖风机出热风很快，档位放在&ldquo;低&rdquo;档，风就已经很热了，放在浴室，孩子现在洗澡就不冷了！,105,1,妞***妈,河北,0,5,2016-10-09 22:48:57
4,很好，美的质量可以，以前买了一个用了9年还没有问题，这次买多一个新的放在浴室用！,105,0,长***W,广东,1,5,2016-11-07 20:28:48
2,效果可以，熱的很快爺爺奶奶都很喜歡，携带也很方便，???,105,0,没***物,,0,5,2016-11-07 06:31:06
4,这个太实用了，打开两分钟就暖和了。真是喜欢啊,61,0,j***c,,0,5,2017-02-05 19:56:26
2,一般\n一般\n一般,105,0,許***來,四川,0,5,2017-02-12 20:01:50
4,放家里了，还没用,61,0,q***n,北京,0,5,2017-01-21 14:52:17
2,不是很热啊，不如浴霸,62,0,j***6,湖南,0,4,2017-01-22 21:13:59
2,总体来说，还值得购买。性价比比较高,62,0,j***i,广东,0,5,2017-01-14 21:09:49
4,不错不错不错不错不错不错,105,0,1***话,四川,0,5,2017-02-10 11:05:41
2,很好，很好用，非常暖和，下次再来购买。,61,0,稍***好,重庆,0,5,2016-12-12 22:05:27
2,挺好用的，调节温度的感觉不怎么起效果,105,0,無***言,四川,0,5,2017-01-17 12:11:08
4,挺好用的非常好,62,0,x***0,辽宁,0,5,2017-02-10 08:38:04
21,太满意了，很暖和，给小孩子浴室用很好,56,0,e***j,,0,5,2017-02-13 17:12:07
4,用了10天，我家电费一个月涨了200,62,0,诺***水,福建,0,5,2017-01-15 06:50:19
4,好,56,0,Y***0,,0,5,2016-12-19 21:01:17
0,美的（Midea）NB20-15LW 浴室暖风机取暖器/电暖器/电暖气,105,0,广***率,,0,5,2017-02-14 20:40:30
2,很好，风力很足，比暖气片要暖和！,105,0,y***7,北京,0,5,2017-02-09 18:06:04
2,ok,61,0,v***0,江西,0,5,2017-02-13 22:54:26
4,还行，风挺大的,62,0,真--爺,广东,0,5,2017-02-08 09:56:57
4,连续买了两台，效果超赞，卧室也能吹暖。给宝宝换尿片最实用。强烈推荐！,105,0,w***6,贵州,0,5,2017-02-04 15:11:20
2,很好，立马就变暖，非常值得推荐,105,0,z***o,浙江,0,5,2017-01-17 18:17:30
4,不错,62,0,j***3,广东,0,5,2017-02-10 13:57:57
0,东西很好用 加热非常快 温度很高 就是不知道有多费电,105,0,麦***牛,,0,5,2017-01-12 14:26:39
4,效果蛮好,62,0,j***1,江苏,0,5,2017-01-15 12:06:03
0,产品很好，很方便，不过加热不是很快。,105,0,h***1,广东,0,5,2017-02-08 09:49:06
4,不错，收到几天了，今天试了一下，效果不错，还要再买一个,61,0,l***d,广东,0,5,2017-02-12 08:58:49
4,还行,61,0,一***3,福建,0,4,2017-01-11 13:54:45
4,不错 买给爸妈的觉得不错 和暖气一样 很暖和 物流也快,105,0,孤***星,天津,0,5,2017-02-09 20:02:30
2,目前还可以,56,0,豪***勇,四川,0,5,2017-02-10 16:06:43
2,很好用，不用担心浴霸强光伤害孩子眼睛了,105,0,t***4,北京,0,5,2016-12-16 12:49:58
4,比较满意,61,0,沐***少,,0,5,2016-11-20 00:07:05
2,几秒就速热，东西不错,56,0,c***7,,0,5,2017-01-16 12:43:23
0,很好用，但是先不给5分，在我的小房间里面制热很快，我在广州，北方不一定有同样效果，在广州的小房间用，杠杠的,61,0,j***p,广东,0,4,2016-12-24 12:07:59
2,非常好  小巧精致  制热快,62,0,j***8,重庆,0,5,2016-12-07 08:06:13
4,东西小巧便捷，很热,61,0,j***b,,0,5,2016-12-24 14:01:56
4,昨天早上下单今早到货速度还行、打开包装看了一下跟图片说的一样，通电开机用了一下还行加热快，就是出风口吹出来的风有点小，是新的美的正品&hellip;&hellip;,56,0,j***d,,0,5,2017-02-14 10:12:18
4,放在5平浴室内够用了,62,0,x***a,新疆,0,5,2016-11-22 13:10:34
0,还可以,61,0,y***2,,0,5,2016-11-27 11:58:18
4,制热快，风大，声音小,61,0,y***4,广东,0,5,2017-01-17 12:37:29
4,不错，就是快递这次配送好慢,62,0,8***4,,0,5,2017-02-05 16:33:15
4,超级萌，热气来的也快，赞！,61,0,板***主,,0,5,2017-02-14 04:06:20
2,风很大，很暖和，放到浴室很舒服，效果不比吊顶的浴霸差。价格很优惠，只是不知道质量怎么样,61,0,j***v,北京,0,5,2017-02-12 22:39:57
2,快递小哥幸苦了，产品很好。,62,0,大***好,广东,0,5,2017-02-13 02:15:45
2,T恤我哦路来咯噢耶,105,0,f***f,北京,0,5,2017-01-22 20:51:18
2,还不错，不能调方向,105,0,火***狼,上海,0,5,2017-02-10 08:06:53
0,东西不错制热效果快外观美观使用方便,105,0,默***涯,浙江,0,5,2017-01-21 11:57:15
2,暖风机很好用，浴室升温很快，冬天在家洗澡一点也不冷,62,0,管***0,江苏,0,5,2016-12-24 08:52:39
2,速暖，噪音可以接受，大小也很合适,62,0,e***y,,0,5,2017-02-10 23:48:02
2,除了费电一点以外，其他很好,105,0,-***叔,四川,0,5,2016-11-22 23:38:23
4,非常不错哟 热的很快,105,0,W***P,江苏,0,5,2017-02-03 14:02:29
0,好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好,105,0,7***m,广东,0,5,2017-01-15 20:40:02
2,非常好的暖风机，冬天给宝宝洗澡很实用，风噪也控制的不错,62,0,j***x,广东,0,5,2017-01-26 19:35:04
4,暖风出的快、,61,0,j***y,,0,5,2017-01-23 22:32:33
0,还可以！洗澡方便,105,0,雅***德,甘肃,0,5,2017-01-12 22:16:24
4,声音小～暖和的快～放卫生间足够了～半小时一度电,62,0,海***刀,北京,0,5,2017-01-21 16:10:06
4,风暖器材浴室用,105,0,东***购,上海,0,5,2016-12-27 19:42:42
21,房间小的还可以,61,0,1***p,,0,5,2017-01-13 22:23:29
2,给小孩洗澡用，挺好的,105,0,i***d,上海,0,5,2017-02-04 20:54:01
4,东西很好，用的效果不错，特别暖和,56,0,j***4,,0,5,2016-12-04 19:48:36
2,热乎乎,105,0,夏***2,广东,0,5,2017-01-03 14:14:58
0,制热效果好，制热速度快，声音还能接受,61,0,j***d,江苏,0,5,2017-02-09 21:58:14
4,不错,61,0,j***y,,0,5,2017-02-09 13:01:53
2,好用,62,0,1***p,,0,5,2017-02-06 20:41:04
4,很好，很满意，没有噪音，非常暖和，而且还防水。价格也比较实惠，很满意。,61,0,j***j,,0,5,2017-01-26 21:56:16
4,第二次购买，很不错,62,0,j***0,江苏,0,5,2017-02-10 16:14:05
4,制热挺快比暖灯浴霸方便可移动，能挂还能放平面三档贴心设计用途广泛,62,0,攀***鼠,山东,0,5,2017-01-27 12:34:38
0,加热很快,56,0,j***m,黑龙江,0,5,2016-12-03 21:52:51
0,不错，比超市划算！ 就是塑料件接合处缝隙待更好，间隙大小不一,62,0,z***e,浙江,0,4,2017-02-04 19:56:59
4,很好，声音略有点,61,0,j***y,,0,5,2016-11-21 18:49:14
2,还行，不错，可以一用,62,0,聖***宇,浙江,0,5,2017-01-15 13:47:40
2,好评,105,0,Z***n,广东,0,5,2017-02-08 14:57:17
2,服务真的很周到，这次是维修，直接给换新了,61,0,j***r,,0,5,2017-02-09 09:52:33
2,哈哈哈哈哈哈哈哈哈哈,105,0,i***2,福建,0,5,2017-02-01 22:23:34
4,很好用哦 买给爸妈的 方便,61,0,j***z,云南,0,5,2016-11-25 19:20:41
4,小巧轻便，实用,62,0,b***图,广东,0,5,2017-01-08 08:16:46
4,在卫生间里用刚好，很暖和，冬天也可以冲澡了！！,105,0,w***5,河南,0,5,2016-12-27 07:54:06
0,很不错，使用方便，实用性强。,61,0,独***湖,山东,0,5,2017-01-23 21:43:52
2,非常小巧实用 热力够。,105,0,j***6,浙江,0,5,2017-02-07 23:45:32
0,送货及时，品质不错，为宝宝而买的，方便换片和洗澡,105,0,牛***1,广东,0,5,2016-12-12 22:49:38
2,非常舒适的体验，值得购买,105,0,j***7,上海,0,5,2016-12-09 23:31:31
0,169下单，能起点作用！,62,0,k***c,广东,0,5,2017-01-26 16:51:14
2,很好，一直以来都很信任京东,62,0,q***2,,0,5,2017-01-18 15:15:35
2,东西不错，热得快，给宝宝换衣服跟暖和，次空调快,62,0,e***n,,0,5,2017-02-08 21:38:45
0,配送快，外观好看，制热效果好，小身材大能量。,61,0,1***D,,0,5,2016-11-23 16:15:51
2,很好，一直以来都很信任京东,62,0,q***2,,0,5,2016-11-15 12:39:53
4,质量过硬,62,0,x***i,江苏,0,5,2016-11-12 00:56:47
21,离得远了就不暖哦,56,0,j***e,,0,5,2016-11-24 22:30:44
4,确实很不错，升温很快，东西很好。,61,0,p***y,贵州,0,5,2017-01-15 11:46:55
4,商品送货很快。,56,0,j***t,,0,5,2017-02-13 09:43:00
2,非常好非常好非常好非常不错很好的东西,56,0,j***u,,0,5,2017-02-09 22:34:28
0,我为什么喜欢在京东买东西，因为今天买明天就可以送到。我为什么每个商品的评价都一样，因为在京东买的东西太多太多了，导致积累了很多未评价的订单，所以我统一用段话作为评价内容。京东购物这么久，有买到很好的产品，也有买到比较坑的产品，如果我用这段话来评价，说明这款产品没问题，至少85分以上，而比较垃圾的产品，我绝对不会偷懒到复制粘贴评价，我绝对会用心的差评，这样其他消费者在购买的时候会作为参考，会影响该商品销量，而商家也会因此改进商品质量。,105,0,j***愚,广东,0,5,2017-01-20 10:02:09
4,制热挺快，噪音小，总体满意,105,0,j***2,江苏,0,5,2017-02-09 20:03:19
2,质量不错，快递员服务好速度也快。,62,0,j***y,,0,5,2016-12-24 13:03:13
4,实验了一下不错,105,0,蝶***0,北京,0,5,2017-02-09 23:23:09
2,帮别人买的,61,0,l***1,,0,5,2016-11-21 11:19:48
4,厂家发货很快，物流也很给力，晚上10点多才下的单，第2天一早就收到了，刚好能在最冷的几天用到，很好的宝贝。点赞!,56,0,j***m,,0,5,2017-02-09 21:31:28
2,不错,56,0,j***p,,0,5,2017-02-12 12:08:47
4,不错。。。。。。。。。。,62,0,5***婷,,0,5,2017-01-30 18:37:11
2,这几天天气冷，小孩冲凉挺好用的，不错。,105,0,j***宿,,0,5,2017-01-23 11:06:04
2,东西不错，热量也够。就是快递送货有问题，情人节的时候6点才送过来，影响也约会时间,62,0,s***0,福建,0,5,2017-02-12 23:54:05
4,宝贝不错，一看就是正品。收到货后，迫不及待地试了试，一会就热了，美的大品牌值得信赖！会一如既往的支持京东！,56,0,j***b,,0,5,2017-02-11 14:15:37
4,物美价廉,61,0,j***w,,0,5,2017-01-30 19:56:57
2,效果不错,56,0,熏***风,江苏,0,5,2017-02-10 17:41:09
4,。。。。。。。。。。。。。,105,0,j***2,北京,0,5,2017-02-10 11:50:53
2,呵呵红红火火恍恍惚惚哈哈哈,62,0,小***O,,0,5,2017-02-13 10:28:11
4,特意用了一段时间才评价的，非常小巧实用的一款家电！,61,0,j***7,天津,0,5,2016-12-17 08:55:58
4,好用,62,0,f***1,江苏,0,5,2016-11-23 09:30:30
4,好,61,0,d***4,广东,0,5,2016-12-21 19:11:17
2,很好用,105,0,V***想,广东,0,5,2017-02-11 10:54:03
4,很好用，也很实用&hellip;&hellip;值得购买&hellip;,61,0,j***x,,0,5,2017-02-01 13:46:52
4,好好好，强劲,105,0,猪***咪,广东,0,5,2017-02-10 22:00:55
4,第二次买了，很不错，不用担心洗澡着凉了！,62,0,小***1,广东,0,5,2017-02-10 22:13:36
2,不错，就是噪音有点大,105,0,我***呀,重庆,0,5,2017-02-10 17:32:18
4,洗澡时候用，不用收起来，北方有暖气的冬天用起来非常赞,61,0,j***n,,0,5,2016-12-01 22:22:28
